score	name	city	state
6.7	 Millie's Old World Meatballs...	 Morristown	 NJ
7.5	 Renzo's Cafe Pizzeria	 Boca Raton	 FL
7.7	 Nonna's	 Florham Park	 NJ
6.8	 Brooklyn Boys Pizza & Pasta	 Boca Raton	 FL
7.6	 Pizza District	 Boca Raton	 FL
7.3	 Tomasso's Pizza and Subs	 Boca Raton	 FL
7.9	 Sicilian Oven	 Boca Raton	 FL
7.7	 Nick's New Haven Style Pizze...	 Boca Raton	 FL
6.6	 Sazio	 Delray Beach	 FL
8.1	 Heritage	 Fort Lauderdale	 FL
7.2	 Conte's Pizza	 Delray Beach	 FL
7.1	 Nick's Pizza	 Deerfield Beach	 FL
7.4	 Pizza Time Ristorante	 Boca Raton	 FL
8.1	 Pizza Craft Artisan Pizzeria	 Fort Lauderdale	 FL
8.1	 Tucci's Fire N Coal Pizza	 Boca Raton	 FL
6.7	 Franco & Vinny's	 Fort Lauderdale	 FL
5.3	 Primanti Bros	 Fort Lauderdale	 FL
7.8	 Luigi's Coal Oven Pizza	 Fort Lauderdale	 FL
6.8	 Pizza Time Restaurant	 Avenel	 NJ
8.8	 Nancy's Towne House	 Rahway	 NJ
6.8	 Frankie Feds	 Freehold	 NJ
7.4	 Romeo's	 Freehold	 NJ
7.2	 Dusal's Italian Restaurant	 Freehold	 NJ
8.8	 Federici's Family Restaurant	 Freehold	 NJ
6.3	 Margari Pizza	 New York	 NY
8.6	 Joe & Pat's Pizzeria	 Staten Island	 NY
7.8	 Round Pie Pizza Company	 Staten Island	 NY
8.1	 Pizzeria Giove	 Staten Island	 NY
7.6	 Frank & Danny's Pizzeria	 New York	 NY
6.7	 Villa Monte Restaurant	 Staten Island	 NY
5.9	 T's Wine Bar And Kitchen	 Stamford	 CT
6.9	 Belltown Pizza	 Stamford	 CT
6.5	 Hope Pizza Restaurant	 Stamford	 CT
7.4	 Remo's	 Stamford	 CT
7.9	 Fresco By Scotto	 New York	 NY
6.8	 Pizza Brain	 Philadelphia	 PA
7.2	 Sir Pizza	 Key Biscayne	 FL
6.7	 Strong's Brick Oven Pizzeria	 Lawrenceburg	 IN
7.6	 PizzaPapalis of Greektown	 Detroit	 MI
7.3	 Giuseppe's Steel City Pizza	 Port Orange	 FL
7.6	 Pete's Pizza	 Daytona Beach	 FL
8.9	 Brooklyn Square Pizza	 Jackson	 NJ
8.1	 Pete & Elda's Bar / Carmen's...	 Neptune City	 NJ
7.9	 Amano Pizza	 South Amboy	 NJ
7.5	 Napoli Pizza & Pasta	 Astoria	 NY
7.9	 Grand Avenue Pizza	 Astoria	 NY
6.8	 Rose & Joe's Italian Bakery	 Astoria	 NY
7.7	 Rosario's	 Astoria	 NY
6.3	 Spris	 Miami Beach	 FL
7.1	 Grafa Pizza	 Miami Beach	 FL
7.3	 Pizza Tropical	 Miami	 FL
4.3	 Mom's New York Pizza	 Miami Beach	 FL
7.2	 La Leggenda Pizzeria	 Miami Beach	 FL
6.1	 Piola - Miami Beach	 Miami Beach	 FL
8.0	 Blocks Pizza Deli	 Miami Beach	 FL
7.4	 Hi-Class Pizza	 Bellerose	 NY
7.8	 Vaccaro's Pizza	 Floral Park	 NY
6.7	 Village Pizzeria	 Floral Park	 NY
7.8	 Eddie's Pizza	 New Hyde Park	 NY
6.5	 Square Pizza	 New York	 NY
6.7	 Giovanni's Pizzeria & Restau...	 Hoboken	 NJ
